name,full_name,title,company,city,state,country,areas_of_expertise,biography,linkedin,website
Martin GUERIN,Martin GUERIN,Senior Advisor Start Up Relations,Luxinnovation,Esch - Belval,Other,Luxembourg,"B2B Sales, B2C Sales, Business Development, Design Thinking, Fundraising, Go-To Market Strategy, Growth Strategy, Higher Education, KPIs and Business Metrics, Leadership and Management, Main Street/Small Business, Marketing, Pitching, Revenue Models, Sales, Search Engine Optimization (SEO), Social Impact and Corporate Responsibility, Social Media, Sustainability","Graduated from EM Normandie Business School, with an Entrepreneur specialization, Martin Guérin worked in the electronics industry (Motorola, Sony) where he contributed to the launch of many innovative products. He then created and developed three start-ups, and joined Paris&Co for 10 years. In 2016 he moved to Luxembourg where he became CEO of nyuko, then of the Luxembourg-City Incubator. Today he works as a startup acceleration advisor at Luxinnovation, the innovation agency of the Luxembourg",https://www.linkedin.com/in/martinguerin/,"www.luxinnovation.lu
Zachary Kane | Assurity Ventures"
Zachary  Kane,Zachary  Kane,Head of Assurity Ventures,Assurity Ventures,Lincoln,Nebraska,,"Business Development, Fundraising, Marketing, Sales, Social Media, Social Impact and Corporate Responsibility",Our purpose is to partner with and/or invest in early stage or expansion stage startups that have context for insurance related products. This includes insurance-specific technology entities as well as other technology startups that provide the possibility of marketing our products such as fintech and health & wellness offerings.,https://www.linkedin.com/in/kanezachary/,Mark Zettler | AgXelerators Inc.
Mark Zettler,Mark Zettler,President & CEO,AgXelerators Inc.,INDIANAPOLIS,Indiana,United States of America (USA),"Product Research, Pitching, KPIs and Business Metrics, Business Development, Other, Growth Strategy","Mark W Zettler holds a PhD in chemistry and is co-founder, President and CEO of AgXelerators Inc, a startup company that transforms their clients' newly discovered biological and chemical active ingredients into commercially viable formulated products.
With a career spanning Dow Chemical, Dow AgroSciences, and AgroFresh, he has held influential leadership positions, steering innovative initiatives. Beyond his corporate roles, he has lent his expertise to scientific advisory boards, shaping ind",https://www.linkedin.com/in/mark-zettler-3a999a3/,"https://agxelerators.com/
Zeb Anderson | LegalQ Inc"
Zeb Anderson,Zeb Anderson,Co-Founder and CEO,LegalQ Inc,Minneapolis,Minnesota,United States of America (USA),"Founder Wellness, Design Thinking, Data and Analytics, Cybersecurity, Legal, Product Research, Revenue Models, Search Engine Optimization (SEO), Software Development, Fundraising, Growth Strategy","Zeb is co-founder and CEO of LegalQ, a legaltech platform to connect users to attorneys through a simple platform. He has a strong passion for access to justice missions and enablement of legal services in a simple and cost effective way.
Prior to LegalQ he has led analytics for corporate strategy channel management at Medtronic. He can code in seven languages, he's an attorney and is a board member (Vice-chair) of largest digital divide non-profit in US in PC's for People.
He has two amazing",https://www.linkedin.com/in/zebanderson/,"https://legalq.io
Tony Zanders | Skilltype"
Tony Zanders,Tony Zanders,Founder & CEO,Skilltype,Baton Rouge,Louisiana,,"B2B Sales, Business Development, Revenue Models, Fundraising, Workforce Development","Tony Zanders is an award-winning software entrepreneur and library technology executive, currently serving as the founder and CEO of Skilltype — a software platform for information professionals and their teams to analyze, develop, and share expertise. He has raised over $1.2M from a variety of types of institutional venture capital firms. Prior to Skilltype, Zanders served as the inaugural entrepreneur-in-residence at the Boston University Libraries, advised the senior leadership team on talent",https://www.linkedin.com/in/zanders/,"https://www.skilltype.com
Zan Doan | Fastrak AI"
Zan Doan,Zan Doan,CTO at Fastrak AI,Fastrak AI,Newark,California,,"B2B Sales, B2C Sales, Automation, Business Development, Data and Analytics, Education (K-12), Founder Wellness, Fundraising, Go-To Market Strategy, Growth Strategy, KPIs and Business Metrics, Leadership and Management, Market Research, Pitching, Product Development, Product Research, Revenue Models, Sales, Software Development, Workforce Development","Zan is a three-time CTO who transforms ideas into billion-dollar products. He was hired as the first engineer at Turing, which he helped grow into an unicorn. At Meta, Zan's team built all of Facebook's integrated ad products — from ""boost a post"" to ""promote page"" — which brought in $8B in revenue. Prior to that, Zan co-founded and sold two startups Humanrank and Successhub.",https://www.linkedin.com/in/giangdoan/,"https://fastrak.ai
Zach Rachlin | ing Outdoors"
Zach Rachlin,Zach Rachlin,Founder,ing Outdoors,Jackson,Wyoming,United States of America (USA),"Automation, Software Development, Product Development, Pitching","Zach Rachlin is an engineer and software developer. He earned a BS and MS in Mechanical Engineering from Northwestern University and began his career as a research engineer at Ford Motor Company. Through work on the active safety and self-driving vehicle teams at Ford, he got heavily into software and machine learning. After completing the Full Stack Academy software bootcamp in NYC, he spent 6 years as a Bioinformatics Software Engineer for Memorial Sloan Kettering Cancer Center, building custo",linkedin.com/in/zrachlin,"ingoutdoors.com
Zach Wurm | LP Insurance"
Zach Wurm,Zach Wurm,Commercial Lines Broker,LP Insurance,Reno,Nevada,,Other,"Reno, NV born and raised, active community member that knows the city and its surrounding areas inside and out. avid movie watcher and a huge sports fan. I now work for LP Insurance Services, the biggest and largest insurance brokerage in the state of Nevada that is also licensed in all 50 states.",https://www.linkedin.com/in/zachary-wurm-3b594419a/,"https://www.lpins.net/
Yvonne Fu | Social Venture Circles"
Yvonne Fu,Yvonne Fu,Founder,Social Venture Circles,Philadelphia,Pennsylvania,United States of America (USA),"Branding, Fundraising, Growth Strategy, KPIs and Business Metrics","Self-motivated financial service executive with extensive investment experience. Possessing deep knowledge of financial products - fixed income, equity, and securitization - and asset allocation strategies. Able to communicate complex financial concepts with clarity. Skillful in problem solving and client relationship management. Active accredited investor in public and alternative investment space. Social impact angel investor. Focus on long-term opportunities to compound capital at attractive",https://www.linkedin.com/in/yvonne-fu/,"N/A
Courtney Yuskis | Yara"
Courtney Yuskis,Courtney Yuskis,North America Incubation Lead,Yara,Sutter,Illinois,,"KPIs and Business Metrics, Marketing, Pitching, Sustainability, B2B Sales, Growth Strategy, Product Research","Experienced in facilitating product development and advancement with an aptitude for revenue growth and profitability. Demonstrated ability to translate market needs to product requirements, and create and execute go-to-market plans. More than 18 years of experience in operational excellence, client relationship management, enterprise solutions combining digital technologies and market intelligence, and cross-functional team leadership.",https://www.linkedin.com/in/courtneyyuskis/,"https://www.yara.us/
Yubi Hassan | BlueHorn Tea"
